,,,,,,,,COUNTRY,TOTAL,,
Row Labels,Count of setting_country,,,u.s.a.,33,U.S.A.,,U.S.A.,33,,
u.s.a.,33,,,england,5,England,,England,5,,
england,5,,,multiple,2,Multiple,,Multiple,2,,
multiple,2,,,italy,2,Italy,,Italy,2,,
italy,2,,,france,2,France,,France,2,,
france,2,,,india,2,India,,India,2,,
india,2,,,kenya,1,Kenya,,Kenya,1,,
kenya,1,,,scotland,1,Scotland,,Scotland,1,,
scotland,1,,,poland,1,Poland,,Poland,1,,
poland,1,,,vietnam,1,Vietnam,,Vietnam,1,,
vietnam,1,,,fictional,1,Fictional,,Fictional,1,,
fictional,1,,,china,1,China,,China,1,,
china,1,,,south korea,1,South Korea,,South Korea,1,,
south korea,1,,,iran,1,Iran,,Iran,1,,
iran,1,,,austria,1,Austria,,Austria,1,,
austria,1,,,iraq,1,Iraq,,Iraq,1,,
iraq,1,,,,,,,,,,
Grand Total,56,,,,,,,,,,
